Medicamento,Comercializado,Especie de destino
KESIUM 200 mg / 50 mg COMPRIMIDOS MASTICABLES PARA PERROS # KESIUM 250 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
KESIUM 200 mg / 50 mg COMPRIMIDOS MASTICABLES PARA PERROS # KESIUM 250 mg COMPRIMIDOS MASTICABLES PARA PERROS,SI,Perros
KESIUM 200 mg / 50 mg COMPRIMIDOS MASTICABLES PARA PERROS # KESIUM 250 mg COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
"BUPRECARE MULTIDOSIS 0,3 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS",SI,Gatos
"LOXICOM 0,5 mg/ml SUSPENSION ORAL PARA GATOS",SI,Gatos
CLAVUDALE 40 mg/10 mg COMPRIMIDOS PARA GATOS Y PERROS # CLAVUDALE 40 mg/10 mg COMPRIMIDO PARA GATOS Y PERROS,NO,Perros
CLAVUDALE 40 mg/10 mg COMPRIMIDOS PARA GATOS Y PERROS # CLAVUDALE 40 mg/10 mg COMPRIMIDO PARA GATOS Y PERROS,SI,Gatos
CLAVUDALE 200 mg/50 mg COMPRIMIDOS PARA PERROS # CLAVUDALE 200 mg/50 mg COMPRIMIDO PARA PERROS,NO,Perros
CLAVUDALE 200 mg/50 mg COMPRIMIDOS PARA PERROS # CLAVUDALE 200 mg/50 mg COMPRIMIDO PARA PERROS,SI,Perros
CLAVUDALE 400 mg/100 mg COMPRIMIDOS PARA PERROS # CLAVUDALE 400 mg/100 mg COMPRIMIDO PARA PERROS,NO,Perros
CLAVUDALE 400 mg/100 mg COMPRIMIDOS PARA PERROS # CLAVUDALE 400 mg/100 mg COMPRIMIDO PARA PERROS,SI,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
FICONTROL FIPRONILO 268 mg SOLUCION SPOT-ON PARA PERROS GRANDES,NO,Perros
CLAVUCILL 40 mg/10 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Perros
CLAVUCILL 40 mg/10 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Perros
CLAVUCILL 40 mg/10 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Perros
CARPROGESIC 50 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Gatos
CARPROGESIC 50 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Perros
CARPROGESIC 50 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Gatos
CARPROGESIC 50 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Perros
CARPROGESIC 50 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Perros
"BENEFORTIN SABOR 2,5 mg COMPRIMIDOS PARA GATOS Y PERROS",NO,Gatos
"BENEFORTIN SABOR 2,5 mg COMPRIMIDOS PARA GATOS Y PERROS",SI,Perros
"BENEFORTIN SABOR 2,5 mg COMPRIMIDOS PARA GATOS Y PERROS",NO,Gatos
"BENEFORTIN SABOR 2,5 mg COMPRIMIDOS PARA GATOS Y PERROS",SI,Perros
BENEFORTIN SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS,NO,Perros
BENEFORTIN SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
BENEFORTIN SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS,NO,Gatos
BENEFORTIN SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
BENEFORTIN SABOR 20 mg COMPRIMIDOS PARA PERROS,NO,Perros
BENEFORTIN SABOR 20 mg COMPRIMIDOS PARA PERROS,NO,Perros
BENEFORTIN SABOR 20 mg COMPRIMIDOS PARA PERROS,SI,Perros
BENEFORTIN SABOR 20 mg COMPRIMIDOS PARA PERROS,NO,Perros
CANAURAL GOTAS OTICAS EN SUSPENSION PARA PERROS Y GATOS,SI,Perros
CANAURAL GOTAS OTICAS EN SUSPENSION PARA PERROS Y GATOS,SI,Perros
"METACAM 1,5 mg/ml SUSPENSION ORAL PARA PERROS",NO,Perros
EUTHASOL 400 mg/ml SOLUCION INYECTABLE,SI,Gatos
EUTHASOL 400 mg/ml SOLUCION INYECTABLE,SI,Perros
SEMFORTAN 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
SEMFORTAN 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
SEMFORTAN 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
SEMFORTAN 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
SEMFORTAN 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
SEMFORTAN 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
FRAMICAS POLVO CUTANEO,SI,Gatos
CANITROID SABOR 200 microgramos COMPRIMIDOS PARA PERROS,SI,Perros
CANITROID SABOR 200 microgramos COMPRIMIDOS PARA PERROS,SI,Perros
CANITROID SABOR 400 microgramos COMPRIMIDOS PARA PERROS,SI,Perros
CANITROID SABOR 400 microgramos COMPRIMIDOS PARA PERROS,SI,Perros
"METACAM 0,5 mg/ml SUSPENSION ORAL GATOS Y COBAYAS",NO,Gatos
RHEUMOCAM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
RHEUMOCAM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Gatos
RHEUMOCAM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Perros
VITOFYLLIN 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS # VITOFYLLIN 50 mg COMPRIMIDOS RECUBIERTOS PARA PERROS,SI,Perros
VITOFYLLIN 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS # VITOFYLLIN 50 mg COMPRIMIDOS RECUBIERTOS PARA PERROS,SI,Perros
VITOFYLLIN 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS # VITOFYLLIN 100 mg COMPRIMIDOS RECUBIERTOS PARA PERROS,SI,Perros
VITOFYLLIN 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS # VITOFYLLIN 100 mg COMPRIMIDOS RECUBIERTOS PARA PERROS,SI,Perros
CLINDASEPTIN 25 mg/ml SOLUCION ORAL PARA GATOS Y PERROS,NO,Perros
PUREVAX RABIES SUSPENSION INYECTABLE,SI,Gatos
PUREVAX RABIES SUSPENSION INYECTABLE,NO,Gatos
PUREVAX RABIES SUSPENSION INYECTABLE,NO,Gatos
FENTADON 50 microgramos/ml SOLUCION INYECTABLE PARA PERROS,SI,Perros
FENTADON 50 microgramos/ml SOLUCION INYECTABLE PARA PERROS,SI,Perros
FENTADON 50 microgramos/ml SOLUCION INYECTABLE PARA PERROS,SI,Perros
FENTADON 50 microgramos/ml SOLUCION INYECTABLE PARA PERROS,SI,Perros
FENTADON 50 microgramos/ml SOLUCION INYECTABLE PARA PERROS,SI,Perros
FENTADON 50 microgramos/ml SOLUCION INYECTABLE PARA PERROS,SI,Perros
FENTADON 50 microgramos/ml SOLUCION INYECTABLE PARA PERROS,SI,Perros
IMALGENE 100 mg/ml SOLUCION INYECTABLE # IMALGENE 100 mg/ml,SI,Gatos
NERFASIN 20 mg/ml SOLUCION INYECTABLE PARA BOVINO CABALLOS PERROS Y GATOS # NERFASIN 20 mg/ml SOLUCION INYECTABLE PARA BOVINO EQUINO PERROS Y GATOS,SI,Gatos
NERFASIN 20 mg/ml SOLUCION INYECTABLE PARA BOVINO CABALLOS PERROS Y GATOS # NERFASIN 20 mg/ml SOLUCION INYECTABLE PARA BOVINO EQUINO PERROS Y GATOS,SI,Gatos
NERFASIN 20 mg/ml SOLUCION INYECTABLE PARA BOVINO CABALLOS PERROS Y GATOS # NERFASIN 20 mg/ml SOLUCION INYECTABLE PARA BOVINO EQUINO PERROS Y GATOS,SI,Perros
XYLASOL 20 mg/ml SOLUCION INYECTABLE PARA BOVINO CABALLOS PERROS Y GATOS,NO,Gatos
XYLASOL 20 mg/ml SOLUCION INYECTABLE PARA BOVINO CABALLOS PERROS Y GATOS,SI,Gatos
XYLASOL 20 mg/ml SOLUCION INYECTABLE PARA BOVINO CABALLOS PERROS Y GATOS,NO,Gatos
RAPIFAN 100 mg/ml SOLUCION INYECTABLE # RAPIFAN,SI,Perros
ZOLETIL 100,SI,Perros
ZOLETIL 50,SI,Perros
PROPOVET MULTIDOSIS 10 mg/ml EMULSION INYECTABLE PARA PERROS Y GATOS,SI,Gatos
PROPOVET MULTIDOSIS 10 mg/ml EMULSION INYECTABLE PARA PERROS Y GATOS,NO,Perros
SYNULOX POLVO PARA GOTAS ORALES EN SUSPENSION,SI,Gatos
EUPENPLUS,SI,Perros
EUPENPLUS,SI,Perros
EUPENPLUS,NO,Perros
EUPENPLUS,NO,Perros
CLAMOXYL VETERINARIA L.A.150 mg/ml SUSPENSION INYECTABLE # CLAMOXYL VETERINARIA L.A.,NO,Gatos
CLAMOXYL VETERINARIA L.A.150 mg/ml SUSPENSION INYECTABLE # CLAMOXYL VETERINARIA L.A.,SI,Perros
CLAMOXYL VETERINARIA L.A.150 mg/ml SUSPENSION INYECTABLE # CLAMOXYL VETERINARIA L.A.,SI,Perros
CLAMOXYL VETERINARIA L.A.150 mg/ml SUSPENSION INYECTABLE # CLAMOXYL VETERINARIA L.A.,NO,Perros
CLAMOXYL VETERINARIA L.A.150 mg/ml SUSPENSION INYECTABLE # CLAMOXYL VETERINARIA L.A.,NO,Gatos
TRAUMEEL USO VETERINARIO SOLUCION INYECTABLE,SI,Gatos
TRAUMEEL USO VETERINARIO SOLUCION INYECTABLE,SI,Gatos
BETAMOX LA,NO,Perros
BETAMOX LA,NO,Perros
BETAMOX LA,NO,Perros
LINCEX SOLUCION INYECTABLE # ICAMICINA SOLUCION INYECTABLE,NO,Perros
LINCEX SOLUCION INYECTABLE # ICAMICINA SOLUCION INYECTABLE,SI,Perros
"CONTRALAC 0,5 mg COMPRIMIDOS # CONTRALAC 0,5 mg",NO,Perros
TSEFALEN 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS,NO,Perros
TSEFALEN 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS,SI,Gatos
VERSIFEL FeLV SUSPENSION INYECTABLE PARA GATOS # VERSIFEL FeLV,NO,Gatos
VERSIFEL FeLV SUSPENSION INYECTABLE PARA GATOS # VERSIFEL FeLV,SI,Gatos
DEXA-JECT 2 mg/ml SOLUCION INYECTABLE PARA BOVINO CABALLOS PORCINO PERROS Y GATOS # DEXA-JECT 2 mg/ml SOLUCION INYECTABLE PARA BOVINO EQUINO PORCINO PERROS Y GATOS,NO,Gatos
DEXA-JECT 2 mg/ml SOLUCION INYECTABLE PARA BOVINO CABALLOS PORCINO PERROS Y GATOS # DEXA-JECT 2 mg/ml SOLUCION INYECTABLE PARA BOVINO EQUINO PORCINO PERROS Y GATOS,SI,Gatos
CARDUUS COMPOSITUM USO VETERINARIO SOLUCION INYECTABLE,SI,Gatos
CARDUUS COMPOSITUM USO VETERINARIO SOLUCION INYECTABLE,SI,Gatos
HELM-EX COMPRIMIDOS MASTICABLES PARA PERROS,SI,Perros
HELM-EX COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
HELM-EX COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
HELM-EX COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
HELM-EX COMPRIMIDOS MASTICABLES PARA PERROS,SI,Perros
HELM-EX COMPRIMIDOS MASTICABLES PARA PERROS GRANDES,SI,Perros
HELM-EX COMPRIMIDOS MASTICABLES PARA PERROS GRANDES,NO,Perros
HELM-EX COMPRIMIDOS MASTICABLES PARA PERROS GRANDES,NO,Perros
HELM-EX COMPRIMIDOS MASTICABLES PARA PERROS GRANDES,SI,Perros
HELM-EX COMPRIMIDOS MASTICABLES PARA PERROS GRANDES,NO,Perros
BAYTRIL SABOR 15 mg COMPRIMIDOS,NO,Perros
BAYTRIL SABOR 15 mg COMPRIMIDOS,NO,Perros
BAYTRIL SABOR 15 mg COMPRIMIDOS,NO,Perros
BAYTRIL SABOR 15 mg COMPRIMIDOS,NO,Gatos
BAYTRIL SABOR 15 mg COMPRIMIDOS,NO,Gatos
BAYTRIL SABOR 15 mg COMPRIMIDOS,NO,Gatos
BAYTRIL SABOR 50 mg COMPRIMIDOS,NO,Gatos
BAYTRIL SABOR 50 mg COMPRIMIDOS,NO,Perros
BAYTRIL SABOR 50 mg COMPRIMIDOS,NO,Perros
BAYTRIL SABOR 50 mg COMPRIMIDOS,NO,Perros
VETPRIL 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS Y GATOS,SI,Perros
VETPRIL 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS Y GATOS,NO,Perros
"METACAM 0,5 mg/ml SUSPENSION ORAL GATOS Y COBAYAS",SI,Gatos
METACAM 2 mg/ml SOLUCION INYECTABLE PARA GATOS,SI,Gatos
TORBUGESIC VET 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS,SI,Perros
TORBUGESIC VET 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS,SI,Perros
POTENCIL,NO,Perros
POTENCIL,NO,Perros
"DEXDOMITOR 0,1 mg/ml SOLUCION INYECTABLE",NO,Perros
"DEXDOMITOR 0,1 mg/ml SOLUCION INYECTABLE",NO,Gatos
INFLACAM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Perros
INFLACAM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
INFLACAM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Gatos
KATA CYNARA SOLUCION ORAL,SI,Gatos
CENMETASONA 2 mg/ml SOLUCION INYECTABLE,SI,Perros
CENMETASONA 2 mg/ml SOLUCION INYECTABLE,NO,Perros
DEXAVEX 2 mg/ml SOLUCION INYECTABLE,SI,Perros
DEXAVEX 2 mg/ml SOLUCION INYECTABLE,NO,Perros
KETAMIDOR 100 mg/ml SOLUCION INYECTABLE,SI,Perros
KETAMIDOR 100 mg/ml SOLUCION INYECTABLE,NO,Gatos
KETAMIDOR 100 mg/ml SOLUCION INYECTABLE,SI,Perros
CANINSULIN,SI,Gatos
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,SI,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
PRAZITEL COMPRIMIDOS PARA PERROS GRANDES,NO,Perros
CLINDASEPTIN 25 mg/ml SOLUCION ORAL PARA GATOS Y PERROS,SI,Perros
COMFORTIS 270 MG COMPRIMIDOS MASTICABLES PARA PERROS Y GATOS,NO,Gatos
COMFORTIS 425 MG COMPRIMIDOS MASTICABLES PARA PERROS Y GATOS,NO,Perros
COMFORTIS 1620 MG COMPRIMIDOS MASTICABLES PARA PERROS,NO,Perros
COMFORTIS 90 mg COMPRIMIDOS MASTICABLES  PARA PERROS Y GATOS,NO,Gatos
COMFORTIS 90 mg COMPRIMIDOS MASTICABLES  PARA PERROS Y GATOS,NO,Perros
COMFORTIS 140 mg COMPRIMIDOS MASTICABLES  PARA PERROS Y GATOS,NO,Perros
COMFORTIS 140 mg COMPRIMIDOS MASTICABLES  PARA PERROS Y GATOS,SI,Perros
MARBOVET 5 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Perros
MARBOVET 5 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Perros
MARBOVET 5 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Gatos
METACAM 5 MG/ML SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Perros
"METACAM 0,5 mg/ml SUSPENSION ORAL GATOS Y COBAYAS",NO,Gatos
METACAM 2 mg/ml SOLUCION INYECTABLE PARA GATOS,NO,Gatos
"CARDALIS 2,5 mg/20 mg COMPRIMIDOS PARA PERROS",SI,Perros
CARDALIS 10 mg/80 mg COMPRIMIDOS PARA PERROS,SI,Perros
KATA RHUS SOLUCION ORAL,SI,Gatos
EFEX 10 mg COMPRIMIDOS MASTICABLES PARA GATOS Y PERROS,NO,Gatos
EFEX 10 mg COMPRIMIDOS MASTICABLES PARA GATOS Y PERROS,SI,Perros
EFEX 10 mg COMPRIMIDOS MASTICABLES PARA GATOS Y PERROS,NO,Perros
EFEX 10 mg COMPRIMIDOS MASTICABLES PARA GATOS Y PERROS,NO,Gatos
EFEX 10 mg COMPRIMIDOS MASTICABLES PARA GATOS Y PERROS,NO,Perros
EFEX 10 mg COMPRIMIDOS MASTICABLES PARA GATOS Y PERROS,NO,Gatos
EFEX 40 mg COMPRIMIDOS MASTICABLES PARA  PERROS,SI,Perros
EFEX 40 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 40 mg COMPRIMIDOS MASTICABLES PARA  PERROS,SI,Perros
EFEX 40 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 40 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 40 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 40 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 40 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 100 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 100 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 100 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 100 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 100 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 100 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 100 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
EFEX 100 mg COMPRIMIDOS MASTICABLES PARA  PERROS,NO,Perros
KATA SELENIUM SOLUCION ORAL,SI,Gatos
MUCOSA COMPOSITUM USO VETERINARIO SOLUCION INYECTABLE,SI,Gatos
MUCOSA COMPOSITUM USO VETERINARIO SOLUCION INYECTABLE,NO,Gatos
"CLAVASEPTIN 62,5 mg COMPRIMIDOS SABOR PARA PERROS Y GATOS",NO,Perros
"CLAVASEPTIN 62,5 mg COMPRIMIDOS SABOR PARA PERROS Y GATOS",SI,Perros
"CLAVASEPTIN 62,5 mg COMPRIMIDOS SABOR PARA PERROS Y GATOS",NO,Perros
"CLAVASEPTIN 62,5 mg COMPRIMIDOS SABOR PARA PERROS Y GATOS",NO,Perros
"GLUCOSAVET 40 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 40 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO, CABALLOS, OVINO, CAPRINO, PORCINO, PERROS Y GATOS",SI,Perros
"GLUCOSAVET 40 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 40 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO, CABALLOS, OVINO, CAPRINO, PORCINO, PERROS Y GATOS",SI,Perros
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,NO,Gatos
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,NO,Perros
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,NO,Perros
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,NO,Gatos
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,SI,Gatos
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,NO,Gatos
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,NO,Gatos
LUNGOCIL L.A. 150 mg/ml SUSPENSION INYECTABLE # LUNGOCIL L.A.,NO,Gatos
DOG-VAC P,NO,Perros
ZEEL USO VETERINARIO SOLUCION INYECTABLE,SI,Gatos
ZEEL USO VETERINARIO SOLUCION INYECTABLE,SI,Gatos
ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y CABALLOS # ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y EQUINO,SI,Gatos
ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y CABALLOS # ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y EQUINO,SI,Perros
ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y CABALLOS # ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y EQUINO,SI,Gatos
ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y CABALLOS # ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y EQUINO,SI,Perros
ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y CABALLOS # ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y EQUINO,SI,Perros
ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y CABALLOS # ANESKETIN 100 mg/ml SOLUCION INYECTABLE PARA PERROS GATOS Y EQUINO,SI,Perros
CONVENIA 80 mg/ml POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE PARA PERROS Y GATOS,SI,Perros
NOBIVAC L4 SUSPENSION INYECTABLE PARA PERROS,NO,Perros
NOBIVAC L4 SUSPENSION INYECTABLE PARA PERROS,SI,Perros
NOBIVAC L4 SUSPENSION INYECTABLE PARA PERROS,NO,Perros
NOBIVAC L4 SUSPENSION INYECTABLE PARA PERROS,SI,Perros
NOBIVAC L4 SUSPENSION INYECTABLE PARA PERROS,NO,Perros
ETADEX,SI,Gatos
ETADEX,SI,Gatos
ETADEX,SI,Perros
MARBOCARE SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS # MARBOCARE SABOR 5 MG COMPRIMIDOS PARA GATOS Y PERROS,NO,Perros
MARBOCARE SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS # MARBOCARE SABOR 5 MG COMPRIMIDOS PARA GATOS Y PERROS,NO,Perros
MARBOCARE SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS # MARBOCARE SABOR 5 MG COMPRIMIDOS PARA GATOS Y PERROS,SI,Gatos
GENTAVALL 5 mg/ml SOLUCION INYECTABLE,SI,Perros
GENTAVALL 40 mg/ml SOLUCION INYECTABLE,SI,Perros
CARPROFELICAN 50 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Gatos
PROPOFOL LIPURO 10 mg/ml EMULSION INYECTABLE BRAUN USO VETERINARIO,SI,Perros
PROPOFOL LIPURO 10 mg/ml EMULSION INYECTABLE BRAUN USO VETERINARIO,SI,Perros
TIPAFAR 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
ANTIDORM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
TSEFALEN 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA PARA PERROS,NO,Gatos
PROZINC 40 UI/ml SUSPENSION INYECTABLE PARA GATOS Y PERROS,SI,Perros
"IMAVEROL 100 mg/ml CONCENTRADO PARA EMULSION CUTANEA PARA BOVINO, EQUINO Y PERROS",NO,Perros
NOSEDORM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Gatos
